Country Code;Short Name;LAT;LON
AFG;Afghanistan;33.93911;67.709953
ALB;Albania;41.153332;20.168331
DZA;Algeria;28.033886;1.659626
ASM;American Samoa;-14.270972;-170.132217
ADO;Andorra;42.546245;1.601554
AGO;Angola;-11.202692;17.873887
ATG;Antigua and Barbuda;17.060816;-61.796428
ARB;Arab World;;
ARG;Argentina;-38.416097;-63.616672
ARM;Armenia;40.069099;45.038189
ABW;Aruba;12.52111;-69.968338
AUS;Australia;-25.274398;133.775136
AUT;Austria;47.516231;14.550072
AZE;Azerbaijan;40.143105;47.576927
BHR;Bahrain;25.930414;50.637772
BGD;Bangladesh;23.684994;90.356331
BRB;Barbados;13.193887;-59.543198
BLR;Belarus;53.709807;27.953389
BEL;Belgium;50.503887;4.469936
BLZ;Belize;17.189877;-88.49765
BEN;Benin;9.30769;2.315834
BMU;Bermuda;32.321384;-64.75737
BTN;Bhutan;27.514162;90.433601
BOL;Bolivia;-16.290154;-63.588653
BIH;Bosnia and Herzegovina;43.915886;17.679076
BWA;Botswana;-22.328474;24.684866
BRA;Brazil;-14.235004;-51.92528
BRN;Brunei;4.535277;114.727669
BGR;Bulgaria;42.733883;25.48583
BFA;Burkina Faso;12.238333;-1.561593
BDI;Burundi;-3.373056;29.918886
CPV;Cabo Verde;;
KHM;Cambodia;12.565679;104.990963
CMR;Cameroon;7.369722;12.354722
CAN;Canada;56.130366;-106.346771
CSS;Caribbean small states;;
CYM;Cayman Islands;19.513469;-80.566956
CAF;Central African Republic;6.611111;20.939444
CEB;Central Europe and the Baltics;;
TCD;Chad;15.454166;18.732207
CHI;Channel Islands;;
CHL;Chile;-35.675147;-71.542969
CHN;China;35.86166;104.195397
COL;Colombia;4.570868;-74.297333
COM;Comoros;-11.875001;43.872219
COG;Congo;-0.228021;15.827659
CRI;Costa Rica;9.748917;-83.753428
CIV;Côte d'Ivoire;7.539989;-5.54708
HRV;Croatia;45.1;15.2
CUB;Cuba;21.521757;-77.781167
CUW;Curaçao;;
CYP;Cyprus;35.126413;33.429859
CZE;Czech Republic;49.817492;15.472962
PRK;Dem. People's Rep. Korea;40.339852;127.510093
ZAR;Dem. Rep. Congo;-4.038333;21.758664
DNK;Denmark;56.26392;9.501785
DJI;Djibouti;11.825138;42.590275
DMA;Dominica;15.414999;-61.370976
DOM;Dominican Republic;18.735693;-70.162651
EAS;East Asia & Pacific (all income levels);;
EAP;East Asia & Pacific (developing only);;
ECU;Ecuador;-1.831239;-78.183406
EGY;Egypt;26.820553;30.802498
SLV;El Salvador;13.794185;-88.89653
GNQ;Equatorial Guinea;1.650801;10.267895
ERI;Eritrea;15.179384;39.782334
EST;Estonia;58.595272;25.013607
ETH;Ethiopia;9.145;40.489673
EMU;Euro area;;
ECS;Europe & Central Asia (all income levels);;
ECA;Europe & Central Asia (developing only);;
EUU;European Union;;
FRO;Faeroe Islands;;
FJI;Fiji;-16.578193;179.414413
FIN;Finland;61.92411;25.748151
FCS;Fragile and conflict affected situations;;
FRA;France;46.227638;2.213749
PYF;French Polynesia;-17.679742;-149.406843
GAB;Gabon;-0.803689;11.609444
GEO;Georgia;42.315407;43.356892
DEU;Germany;51.165691;10.451526
GHA;Ghana;7.946527;-1.023194
GRC;Greece;39.074208;21.824312
GRL;Greenland;71.706936;-42.604303
GRD;Grenada;12.262776;-61.604171
GUM;Guam;13.444304;144.793731
GTM;Guatemala;15.783471;-90.230759
GIN;Guinea;9.945587;-9.696645
GNB;Guinea-Bissau;11.803749;-15.180413
GUY;Guyana;4.860416;-58.93018
HTI;Haiti;18.971187;-72.285215
HPC;Heavily indebted poor countries (HIPC);;
HIC;High income;;
NOC;High income: nonOECD;;
OEC;High income: OECD;;
HND;Honduras;15.199999;-86.241905
HKG;Hong Kong SAR, China;22.396428;114.109497
HUN;Hungary;47.162494;19.503304
ISL;Iceland;64.963051;-19.020835
IND;India;20.593684;78.96288
IDN;Indonesia;-0.789275;113.921327
IRN;Iran;32.427908;53.688046
IRQ;Iraq;33.223191;43.679291
IRL;Ireland;53.41291;-8.24389
IMY;Isle of Man;54.236107;-4.548056
ISR;Israel;31.046051;34.851612
ITA;Italy;41.87194;12.56738
JAM;Jamaica;18.109581;-77.297508
JPN;Japan;36.204824;138.252924
JOR;Jordan;30.585164;36.238414
KAZ;Kazakhstan;48.019573;66.923684
KEN;Kenya;-0.023559;37.906193
KIR;Kiribati;-3.370417;-168.734039
KOR;Korea;35.907757;127.766922
KSV;Kosovo;42.602636;20.902977
KWT;Kuwait;29.31166;47.481766
KGZ;Kyrgyz Republic;41.20438;74.766098
LAO;Lao PDR;19.85627;102.495496
LCN;Latin America & Caribbean (all income levels);;
LAC;Latin America & Caribbean (developing only);;
LVA;Latvia;56.879635;24.603189
LDC;Least developed countries: UN classification;;
LBN;Lebanon;33.854721;35.862285
LSO;Lesotho;-29.609988;28.233608
LBR;Liberia;6.428055;-9.429499
LBY;Libya;26.3351;17.228331
LIE;Liechtenstein;47.166;9.555373
LTU;Lithuania;55.169438;23.881275
LMY;Low & middle income;;
LIC;Low income;;
LMC;Lower middle income;;
LUX;Luxembourg;49.815273;6.129583
MAC;Macao SAR, China;;
MKD;Macedonia;41.608635;21.745275
MDG;Madagascar;-18.766947;46.869107
MWI;Malawi;-13.254308;34.301525
MYS;Malaysia;4.210484;101.975766
MDV;Maldives;3.202778;73.22068
MLI;Mali;17.570692;-3.996166
MLT;Malta;35.937496;14.375416
MHL;Marshall Islands;7.131474;171.184478
MRT;Mauritania;21.00789;-10.940835
MUS;Mauritius;-20.348404;57.552152
MEX;Mexico;23.634501;-102.552784
FSM;Micronesia;7.425554;150.550812
MEA;Middle East & North Africa (all income levels);;
MNA;Middle East & North Africa (developing only);;
MIC;Middle income;;
MDA;Moldova;47.411631;28.369885
MCO;Monaco;43.750298;7.412841
MNG;Mongolia;46.862496;103.846656
MNE;Montenegro;42.708678;19.37439
MAR;Morocco;31.791702;-7.09262
MOZ;Mozambique;-18.665695;35.529562
MMR;Myanmar;21.913965;95.956223
NAM;Namibia;-22.95764;18.49041
NPL;Nepal;28.394857;84.124008
NLD;Netherlands;52.132633;5.291266
NCL;New Caledonia;-20.904305;165.618042
NZL;New Zealand;-40.900557;174.885971
NIC;Nicaragua;12.865416;-85.207229
NER;Niger;17.607789;8.081666
NGA;Nigeria;9.081999;8.675277
NAC;North America;;
MNP;Northern Mariana Islands;17.33083;145.38469
NOR;Norway;60.472024;8.468946
OED;OECD members;;
OMN;Oman;21.512583;55.923255
OSS;Other small states;;
PSS;Pacific island small states;;
PAK;Pakistan;30.375321;69.345116
PLW;Palau;7.51498;134.58252
PAN;Panama;8.537981;-80.782127
PNG;Papua New Guinea;-6.314993;143.95555
PRY;Paraguay;-23.442503;-58.443832
PER;Peru;-9.189967;-75.015152
PHL;Philippines;12.879721;121.774017
POL;Poland;51.919438;19.145136
PRT;Portugal;39.399872;-8.224454
PRI;Puerto Rico;18.220833;-66.590149
QAT;Qatar;25.354826;51.183884
ROM;Romania;45.943161;24.96676
RUS;Russia;61.52401;105.318756
RWA;Rwanda;-1.940278;29.873888
WSM;Samoa;-13.759029;-172.104629
SMR;San Marino;43.94236;12.457777
STP;Săo Tomé and Principe;0.18636;6.613081
SAU;Saudi Arabia;23.885942;45.079162
SEN;Senegal;14.497401;-14.452362
SRB;Serbia;44.016521;21.005859
SYC;Seychelles;-4.679574;55.491977
SLE;Sierra Leone;8.460555;-11.779889
SGP;Singapore;1.352083;103.819836
SXM;Sint Maarten (Dutch part);;
SVK;Slovak Republic;48.669026;19.699024
SVN;Slovenia;46.151241;14.995463
SST;Small states;;
SLB;Solomon Islands;-9.64571;160.156194
SOM;Somalia;5.152149;46.199616
ZAF;South Africa;-30.559482;22.937506
SAS;South Asia;;
SSD;South Sudan;;
ESP;Spain;40.463667;-3.74922
LKA;Sri Lanka;7.873054;80.771797
KNA;St. Kitts and Nevis;;
LCA;St. Lucia;;
MAF;St. Martin (French part);;
VCT;St. Vincent and the Grenadines;12.984305;-61.287228
SSF;Sub-Saharan Africa (all income levels);;
SSA;Sub-Saharan Africa (developing only);;
SDN;Sudan;12.862807;30.217636
SUR;Suriname;3.919305;-56.027783
SWZ;Swaziland;-26.522503;31.465866
SWE;Sweden;60.128161;18.643501
CHE;Switzerland;46.818188;8.227512
SYR;Syrian Arab Republic;34.802075;38.996815
TJK;Tajikistan;38.861034;71.276093
TZA;Tanzania;-6.369028;34.888822
THA;Thailand;15.870032;100.992541
BHS;The Bahamas;;
GMB;The Gambia;;
TMP;Timor-Leste;-8.874217;125.727539
TGO;Togo;8.619543;0.824782
TON;Tonga;-21.178986;-175.198242
TTO;Trinidad and Tobago;10.691803;-61.222503
TUN;Tunisia;33.886917;9.537499
TUR;Turkey;38.963745;35.243322
TKM;Turkmenistan;38.969719;59.556278
TCA;Turks and Caicos Islands;21.694025;-71.797928
TUV;Tuvalu;-7.109535;177.64933
UGA;Uganda;1.373333;32.290275
UKR;Ukraine;48.379433;31.16558
ARE;United Arab Emirates;23.424076;53.847818
GBR;United Kingdom;55.378051;-3.435973
USA;United States;37.09024;-95.712891
UMC;Upper middle income;;
URY;Uruguay;-32.522779;-55.765835
UZB;Uzbekistan;41.377491;64.585262
VUT;Vanuatu;-15.376706;166.959158
VEN;Venezuela;6.42375;-66.58973
VNM;Vietnam;14.058324;108.277199
VIR;Virgin Islands;18.335765;-64.896335
WBG;West Bank and Gaza;;
WLD;World;;
YEM;Yemen;15.552727;48.516388
ZMB;Zambia;-13.133897;27.849332
ZWE;Zimbabwe;-19.015438;29.154857
